Coordinates,Label
"3.0669405460357666,5.339294910430908",Intelligent Systems
"5.682065486907959,6.75985860824585",Intelligent Systems
"3.8178324699401855,13.92733097076416",Intelligent Systems
"6.353439807891846,6.8069987297058105",Intelligent Systems
"3.9581375122070312,7.757357597351074",Intelligent Systems
"6.291828632354736,13.22193717956543",Intelligent Systems
"-1.1720880270004272,5.243790149688721",Intelligent Systems
"2.172015428543091,10.932425498962402",Intelligent Systems
"4.546008586883545,8.749457359313965",Intelligent Systems
"1.1225149631500244,8.108939170837402",Intelligent Systems
"5.66999626159668,7.13597297668457",Intelligent Systems
"1.972891092300415,5.961629390716553",Intelligent Systems
"6.62247371673584,12.955280303955078",Intelligent Systems
"6.569979190826416,6.167996406555176",Intelligent Systems
"4.696444034576416,9.939752578735352",Intelligent Systems
"6.206119537353516,9.852031707763672",Intelligent Systems
"1.9445550441741943,10.224625587463379",Intelligent Systems
"6.800867080688477,6.9076828956604",Intelligent Systems
"7.760323524475098,11.438344955444336",Unlabelled
"4.612477779388428,6.03085470199585",Unlabelled
"10.110662460327148,6.185785293579102",Unlabelled
"5.599342346191406,6.472558498382568",Unlabelled
"8.165465354919434,7.935903549194336",Unlabelled
"9.0424222946167,12.255284309387207",Unlabelled
"8.518903732299805,7.835761547088623",Unlabelled
"5.287689685821533,7.298196315765381",Unlabelled
"-0.7051108479499817,7.753969669342041",Unlabelled
"6.791167259216309,10.744941711425781",Unlabelled
"8.993062019348145,12.337629318237305",Unlabelled
"6.295952796936035,6.108270645141602",Unlabelled
"7.389480113983154,9.94829273223877",Unlabelled
"7.104579448699951,12.684452056884766",Unlabelled
"6.429837226867676,8.865779876708984",Unlabelled
"8.680453300476074,11.544973373413086",Unlabelled
"7.513248443603516,13.11383056640625",Unlabelled
"6.2386555671691895,4.824592590332031",Unlabelled
"5.765027046203613,7.614287853240967",Unlabelled
"0.8606022000312805,6.255414009094238",Unlabelled
"1.7664384841918945,13.438501358032227",Unlabelled
"2.1157264709472656,6.963659286499023",Unlabelled
"4.9586710929870605,6.2396321296691895",Unlabelled
"8.478511810302734,5.916615009307861",Unlabelled
"6.509878158569336,6.727630615234375",Unlabelled
"6.6125288009643555,7.37586784362793",Unlabelled
"7.835951328277588,7.860679626464844",Unlabelled
"6.985348701477051,8.255084991455078",Unlabelled
"4.763852596282959,10.403709411621094",Unlabelled
"4.721920490264893,10.471420288085938",Unlabelled
"8.027453422546387,5.380950450897217",Unlabelled
"7.740978240966797,13.211322784423828",Unlabelled
"9.122736930847168,12.343626976013184",Unlabelled
"4.562160015106201,10.031545639038086",Unlabelled
"5.873151779174805,6.738558292388916",Unlabelled
"4.036736011505127,10.166975021362305",Unlabelled
"5.744401931762695,4.760240077972412",Unlabelled
"5.839441776275635,4.965628623962402",Unlabelled
"-0.6933409571647644,6.2806172370910645",Unlabelled
"6.835906982421875,7.90295934677124",Unlabelled
"6.053831100463867,4.666935443878174",Unlabelled
"4.416096210479736,8.158730506896973",Unlabelled
"-0.3715611696243286,5.4754319190979",Unlabelled
"4.068950176239014,5.3554301261901855",Unlabelled
"1.3290486335754395,12.098368644714355",Unlabelled
"7.45074462890625,11.059218406677246",Unlabelled
"6.544088840484619,6.915849208831787",Unlabelled
"6.971904277801514,12.169147491455078",Unlabelled
"1.319728136062622,12.042652130126953",Unlabelled
"1.2498676776885986,6.18715763092041",Unlabelled
"4.580146789550781,12.790239334106445",Unlabelled
"7.010319709777832,13.567122459411621",Unlabelled
"5.8628740310668945,10.142561912536621",Unlabelled
"4.505981922149658,10.37458324432373",Unlabelled
"6.330155372619629,12.243388175964355",Unlabelled
"-2.5415585041046143,7.967719078063965",Unlabelled
"4.365363597869873,6.4645466804504395",Unlabelled
"3.7661993503570557,8.957646369934082",Unlabelled
"4.8684258460998535,7.665677547454834",Unlabelled
"4.206861972808838,13.129520416259766",Unlabelled
"8.241242408752441,12.942658424377441",Unlabelled
"5.346911430358887,9.437023162841797",Unlabelled
"3.0937047004699707,8.11072826385498",Unlabelled
"10.252790451049805,6.0642571449279785",Unlabelled
"6.330673694610596,7.571943759918213",Unlabelled
"6.154089450836182,8.59044075012207",Unlabelled
"5.791698932647705,8.217162132263184",Unlabelled
"6.276719570159912,7.544710159301758",Unlabelled
"5.8135085105896,9.192325592041016",Unlabelled
"4.119794845581055,5.4845147132873535",Unlabelled
"2.1740517616271973,13.267999649047852",Unlabelled
"4.810898303985596,8.104740142822266",Unlabelled
"8.135307312011719,5.95574426651001",Unlabelled
"7.688483238220215,7.684333801269531",Unlabelled
"2.96940541267395,8.167825698852539",Unlabelled
"8.784119606018066,12.15947151184082",Unlabelled
"1.688551664352417,11.699762344360352",Unlabelled
"5.577658176422119,8.231415748596191",Unlabelled
"0.5746880173683167,9.661253929138184",Unlabelled
"5.126009464263916,7.334354877471924",Unlabelled
"8.179484367370605,12.37325668334961",Unlabelled
"5.53888463973999,7.542038440704346",Unlabelled
"6.50152063369751,7.972934722900391",Unlabelled
"7.136066436767578,7.713658809661865",Unlabelled
"4.354907512664795,8.08901596069336",Unlabelled
"6.668627738952637,7.713686943054199",Unlabelled
"7.451645851135254,10.92599868774414",Unlabelled
"2.108600378036499,11.727856636047363",Unlabelled
"2.5952396392822266,5.548899173736572",Unlabelled
"5.503252983093262,7.201686859130859",Unlabelled
"6.211253643035889,5.814713001251221",Unlabelled
"7.105318069458008,8.842638969421387",Unlabelled
"6.168712615966797,5.122626304626465",Unlabelled
"8.97657299041748,12.28382396697998",Unlabelled
"6.237874507904053,6.997287750244141",Unlabelled
"3.7531654834747314,13.82969856262207",Unlabelled
"3.7196271419525146,11.853289604187012",Unlabelled
"3.8922536373138428,13.857946395874023",Unlabelled
"6.230334281921387,5.454195022583008",Unlabelled
"1.8256809711456299,11.95158576965332",Unlabelled
"1.3823164701461792,6.906624794006348",Unlabelled
"6.624666213989258,8.201078414916992",Unlabelled
