,Topic Coherence Score
0,0.4223467978785219
1,0.6112921288535738
2,0.6114976209565052
3,0.7344624704245789
4,0.7726833424143702
5,0.616960762040347
6,0.6627869754452159
7,0.7715141577284971
8,0.6533680155251687
9,0.7937834017245111
10,0.5357633009907683
11,0.6983573284345733
12,0.6500965183087957
13,0.6684916958849507
14,0.8058222988468005
15,0.6449859082629075
16,0.8468056501453409
17,0.7992779257118536
18,0.5941759889865784
19,0.5087237123210426
20,0.8885102777582823
21,0.7811604175304121
22,0.7459936960143085
23,0.7523286908688043
24,0.673970279694444
25,0.7040159897521896
26,0.6906735140478054
27,0.48874771485490703
28,0.7048316113674474
29,0.6685259602582483
30,0.5387344174411897
31,0.6340704715676831
32,0.7608572820679407
33,0.7816560217060975
34,0.8259894987604112
35,0.654633666262397
36,0.6091339796054898
37,0.5543414615297504
38,0.5946986885538095
39,0.5696836748133085
40,0.6381506000433566
41,0.7024563900832181
42,0.5405363112498722
43,0.6642873399186844
44,0.705861117726036
45,0.5584607694927008
46,0.6895866670975983
47,0.6800291324263388
48,0.514933685227486
49,0.6880622579611668
50,0.6261735391245027
51,0.6479058503889641
52,0.7017498597344525
53,0.5136737194212869
54,0.4376483672115544
55,0.6885250892185519
56,0.6932104520388933
57,0.7629589428986705
58,0.5353793977433765
59,0.4559376125952475
60,0.8203853512032244
61,0.3765269368406602
62,0.5162708126158393
63,0.4957322628202993
64,0.7331700265864958
65,0.6989948010672535
66,0.7507090303251726
67,0.8829432114609507
68,0.8449142520384593
69,0.5316573575900668
70,0.5745485068794812
71,0.520960827355841
72,0.38381278149359294
73,0.792871812446522
74,0.5663128323771078
75,0.6164989348974222
76,0.7616491963132136
77,0.5300703243609122
78,0.5971034137958351
79,0.627584538095518
80,0.5363004722063109
81,0.49882700189421686
82,0.6769002833918036
83,0.6863760525579437
84,0.41396984531799197
85,0.5327476426459047
86,0.4583111130048202
87,0.4907389391374847
88,0.6595563160864055
89,0.6504860292807073
90,0.6274119957370472
91,0.3627687604290444
92,0.9089444750757527
93,0.5817300565083517
94,0.594159279539581
95,0.7330513535308316
96,0.6977096626790379
97,0.4491831866353751
98,0.628391029947728
99,0.5652025109115316
100,0.546433863511224
101,0.4462934151292318
102,0.5018188252902963
103,0.5344145761448416
104,0.3963376707930876
105,0.4621917912564776
106,0.4133555090371696
107,0.6483676167180767
108,0.4131604471584165
109,0.5406850108869159
110,0.47008958072280516
111,0.5925270261275977
112,0.6390606633259198
113,0.4410007712226743
114,0.6897912211195378
115,0.6232880606592441
116,0.5975453162580949
117,0.5261265507125384
118,0.4396932047752184
119,0.47040014925045226
120,0.4607879155441944
121,0.6011411215889988
122,0.4520872904694394
123,0.6884720859108244
124,0.5044845212165305
125,0.43905303785315264
126,0.7686938437282306
127,0.44725332363977977
128,0.6011779748161976
129,0.646129768638844
130,0.5068876718955344
131,0.47369434554294526
132,0.7289626535043248
133,0.5195583332361184
134,0.8588175011649094
135,0.46756357455866304
136,0.5968231820823657
137,0.6079029493316938
138,0.4384165817847491
139,0.6491312721648891
140,0.6354257866274998
141,0.5511261102601359
142,0.44198588156174196
143,0.5767300839760601
144,0.6455300508350598
145,0.5684218044743387
146,0.6708166842521258
147,0.28612561069300424
148,0.4101916534265041
149,0.5586643610024308
150,0.6511914981533014
151,0.52306741717846
152,0.9111207165026072
153,0.3954503687081809
154,0.6566224500025715
155,0.609271702898887
156,0.6900903040575823
157,0.5277108843769185
158,0.30656353478669696
159,0.26405335189167
160,0.46427023211702023
161,0.4217770344281696
162,0.35822273645781577
163,0.607801266790315
164,0.5663600965420953
165,0.4636714034969218
166,0.39233297588989646
167,0.6121624916700111
168,0.33107622796809344
169,0.5487136769742633
170,0.5116793474477429
171,0.49432109471668567
172,0.4886646416226684
173,0.500908246161385
174,0.5683919357992705
175,0.6072809314050974
176,0.572110339663614
177,0.7225727058446456
178,0.562206965497792
179,0.5312009433750962
180,0.6337434962743475
181,0.43227850144332847
182,0.4665464309482594
183,0.22720806868703242
184,0.5565484362655315
185,0.4133576682758641
186,0.36038475050821195
187,0.46631406637538986
188,0.7411925198472675
189,0.5405864951313749
190,0.5657306682384216
191,0.6864534189398218
192,0.5901795634002485
193,0.41887626901222524
194,0.5802790124339093
195,0.445480921791226
196,0.42144749667041814
197,0.6747395735504244
198,0.6126451898944203
199,0.5919663865694995
200,0.5734741851343992
201,0.5294703887903952
202,0.5277400309038996
203,0.41186885852530863
204,0.5345003793694854
205,0.41319165562308147
206,0.8387590972524788
207,0.6393525939364707
208,0.5523161009765077
209,0.6085212903017706
210,0.6246674683208252
211,0.5933892506619248
212,0.4089101651288603
213,0.7003531267146391
214,0.44138597324505546
215,0.8597410156401916
216,0.3985108302424479
217,0.4713173427958989
218,0.3498120018961417
219,0.4920310071894054
220,0.500894671632618
221,0.5208998229188258
222,0.5952272446458268
223,0.5706965409434408
224,0.5215527024351487
225,0.3414837367257132
226,0.33358872345863455
227,0.5825681719224085
228,0.3898872815680228
229,0.3310141724343769
230,0.549727256926442
231,0.5038104775461494
232,0.662676860664537
233,0.6308154738139994
234,0.4973322839902575
235,0.31652430710774654
236,0.6044928425128979
237,0.6456837413921895
238,0.6099832909146018
239,0.6170343119669786
240,0.6705630433183354
241,0.328186407629567
242,0.4883791806180054
243,0.37968945699382206
244,0.5811759663822725
245,0.6108960451515025
246,0.5110497512230671
247,0.36819036950757583
248,0.4832063232241686
249,0.3753374743967759
250,0.2922160279024998
251,0.47758222319215654
252,0.691182222255112
253,0.591047521769017
254,0.5594987625468253
255,0.5586915552884401
256,0.4575571403997598
257,0.5190967553442126
258,0.5100014072619421
259,0.7463770280728299
260,0.22758705281181527
261,0.5142714478589714
262,0.523916475007555
263,0.6283309141391042
264,0.6097553685975046
265,0.50874726791286
266,0.5299577194038597
267,0.591976194168865
268,0.41884242947824835
269,0.5665670180743594
270,0.5998968639372039
271,0.8072490706916646
272,0.47413955970247484
273,0.42814583398557327
274,0.7061234769763313
275,0.4395198178877718
276,0.3515930253935153
277,0.5239241514510777
278,0.6599055127882014
279,0.511100186760651
280,0.669996959193352
281,0.3905700980574278
282,0.421541708727708
283,0.3534900812496977
284,0.4175076420590577
285,0.46247176321638417
286,0.573451364375521
287,0.5672489431568503
288,0.5138565095404914
289,0.576723465761821
290,0.41740087316282565
291,0.4928234553544869
292,0.7074272505579622
293,0.4379068717747601
294,0.4334400468314404
295,0.5445780200777993
296,0.5837523929459227
297,0.43067207871098195
298,0.3780410334084842
299,0.36675745642089136
300,0.556379809279661
301,0.5142301485869823
302,0.4896664989595051
303,0.5710753818402392
304,0.6483505688831548
305,0.36210866688665605
306,0.7407377673266424
307,0.6251014829039917
308,0.4734151034030799
309,0.368841394862068
310,0.48287998382745895
311,0.38362686889687037
312,0.45253655919682384
313,0.4616384259817554
314,0.5368641323957417
315,0.5355047656405028
316,0.4569813350090072
317,0.6387081066633876
318,0.5269030566695523
319,0.41120934089314376
320,0.5199377888912653
321,0.36381832268358055
322,0.45611303515356455
323,0.5140061426881692
324,0.7893645505673195
325,0.4259726696774952
326,0.4909823216109175
327,0.5661942773427033
328,0.7993928951460423
329,0.47726212021347586
330,0.11695128075469663
331,0.7040967918250552
332,0.43316434993679015
333,0.6535652338189062
334,0.5117829497959246
335,0.4763426235923509
336,0.5308329926265662
337,0.5413074051600015
338,0.5652122118180156
339,0.6980103649213916
340,0.5312903130402304
341,0.4774135179230109
342,0.6067862931101171
343,0.6567960866388597
344,0.5767380111289165
345,0.43115876724986724
346,0.6762948228582568
347,0.6543151495627646
348,0.34785254991111614
349,0.7015723125749919
350,0.626891191176919
351,0.5975315757773116
352,0.5106919292202677
353,0.33834691629277774
354,0.5276476512727224
355,0.48600213312669815
356,0.3527190009254884
357,0.42975658936912814
358,0.34916898340031044
359,0.4013513194970277
360,0.48560395759215497
361,0.5186219735988531
362,0.6392061984997351
363,0.5025696809261073
364,0.6916064710757102
365,0.5549497161866812
366,0.43389512006369557
367,0.5999229400952173
368,0.30482609229616137
369,0.48424158811041906
370,0.37442322685252627
371,0.3992131735228325
372,0.5488538574464299
373,0.5180508131549272
374,0.45378890750654205
375,0.5482137087316903
376,0.618922242073714
377,0.6682869240571002
378,0.46029673812675637
379,0.5527535661339347
380,0.4474500244998126
381,0.5942507585583302
382,0.667572536176209
383,0.44203284024644807
384,0.4901203114364316
385,0.5649844237003683
386,0.5698066959441337
387,0.256390852935482
388,0.62613109276307
389,0.6605085849848161
390,0.5705062497809782
391,0.585871073523118
392,0.35671346639237267
393,0.4150882231485174
394,0.5095584735937143
395,0.45384458376251235
396,0.5568492516408476
397,0.4704615713538816
398,0.42259869256912624
399,0.4488660290238961
400,0.340410485013265
401,0.5467159034308612
402,0.6123110422885342
403,0.4503830132559103
404,0.38981613820066346
405,0.43219088102532704
406,0.5575998126972724
407,0.7482866114934984
408,0.5219359524172175
409,0.6096578295660993
410,0.4400936289337447
411,0.35836821571199107
412,0.4452933436712135
413,0.33182607180556317
414,0.34611972329469576
415,0.4570781104302369
416,0.380287071977565
417,0.5098536918250461
418,0.4229621046645523
419,0.5032165177583696
420,0.5955816343042339
421,0.31487643967582984
422,0.49670006775988157
423,0.3445306522573722
424,0.7019571331286267
425,0.6737050158053449
426,0.5890344990391292
427,0.294636393968554
428,0.6237189415501753
429,0.45146462785967956
430,0.4706610249217791
431,0.6352628048604919
432,0.503242401120765
433,0.6584076987925717
434,0.6545546037219571
435,0.45315084910358666
436,0.4625324228846104
437,0.3582218063154604
438,0.7531646949148332
439,0.3815571056607766
440,0.5995864878990921
441,0.31314249822616197
442,0.8177420359201435
443,0.6725702986970225
444,0.6408019891660619
445,0.5677611691432577
446,0.3806298158952461
447,0.613153557443031
448,0.2969777258310501
449,0.3908528967601282
450,0.4801322723695381
451,0.4717687852212912
452,0.6438080835707987
453,0.663289183924238
454,0.5913117970101573
455,0.39530223435118783
456,0.5265377366254433
457,0.5254965466910686
458,0.31173367937687446
459,0.7812974956923318
460,0.35478942004999375
461,0.573937309279194
462,0.3439125597326915
463,0.6553507129941163
464,0.49791351307720727
465,0.4396201729402295
466,0.37156601848348547
467,0.6843197099124958
468,0.37544127119525583
469,0.5457223396768764
470,0.20843397335724725
471,0.3366218985024181
472,0.5153677758440186
473,0.31529179549018405
474,0.5518669379089592
475,0.41074955113015965
476,0.5500429290456087
477,0.5603636116957762
478,0.7062753925307892
479,0.4896031789108058
480,0.48521240153001577
481,0.5903256219168729
482,0.479529855335067
483,0.6037419819099561
484,0.6254212185794494
485,0.5683781807604994
486,0.6254003107832344
487,0.6272266064638755
488,0.5565540851601048
489,0.5024361262553809
490,0.5104491703057624
491,0.6847767007919001
492,0.5204440098896943
493,0.34780557772268433
494,0.6044074758841532
495,0.45941673286638834
496,0.40938914114586417
497,0.803148264391093
498,0.4946302789316889
499,0.5349916671075258
500,0.6860904963106365
501,0.4477772232484515
502,0.3212415666404227
503,0.3691049299046424
504,0.3937476327819255
505,0.5747870715287402
506,0.511855508307923
507,0.43958219921592806
508,0.6279301152894277
509,0.5368715638860648
510,0.4358228769933171
511,0.41307268010431447
512,0.5136447962187795
513,0.7715964659251447
514,0.5364089636047936
515,0.48826255749601194
516,0.36515738020057104
517,0.8392904624244478
518,0.5319486191357187
519,0.6259578990549647
520,0.4086534580048805
521,0.4122442832254616
522,0.29563902612036774
523,0.6251601744650948
